Model Name,Units,Layers,Dropout,Accuracy,Precision,Recall,F1
LSTM_model_u128_l2_d25.h5,128,2,0.25,0.8,0.888888888888889,0.7857142857142858,0.8037878787878787
LSTM_model_u128_l2_d50.h5,128,2,0.5,0.8,0.888888888888889,0.7857142857142858,0.8037878787878787
LSTM_model_u128_l3_d25.h5,128,3,0.25,0.84,0.8466666666666667,0.8857142857142856,0.8373626373626374
LSTM_model_u128_l3_d50.h5,128,3,0.5,0.8,0.888888888888889,0.7857142857142858,0.8037878787878787
LSTM_model_u256_l2_d25.h5,256,2,0.25,0.68,0.44727272727272727,0.48571428571428577,0.44218657159833635
LSTM_model_u256_l2_d50.h5,256,2,0.5,0.68,0.7793650793650794,0.7714285714285715,0.6677350427350428
LSTM_model_u256_l3_d25.h5,256,3,0.25,0.68,0.8333333333333333,0.7,0.7209803921568627
LSTM_model_u256_l3_d50.h5,256,3,0.5,0.6,0.48611111111111105,0.5714285714285714,0.5007575757575757
